biocomp_id,molregno,component_id
2337,2096444,21804
3334,2197309,20625
3630,2197389,20800
3504,2197636,20800
1680,2197638,21565
2978,2197672,20954
3030,2197803,21275
2382,2197803,21624
1700,2197847,21223
2003,2197848,21161
2004,2197848,21162
3579,2197849,21226
1416,2197851,21194
2966,2197851,21195
1495,2197852,21267
2081,2197852,21269
3654,2197853,21276
3160,2197854,21268
2523,2197854,21269
1411,2197855,21204
3581,2197855,21205
3580,2197855,21206
3582,2197855,21207
1417,2197856,21231
2327,2197857,21227
2964,2197857,21228
2005,2197857,22072
1412,2197857,22073
2967,2197858,21220
1701,2197859,21202
2643,2197859,21203
1413,2197859,21340
1414,2197861,21192
3583,2197861,21193
3051,2197862,21236
1782,2197862,21238
3590,2197863,21222
1702,2197864,21265
3336,2197865,21266
1780,2197866,21277
2007,2197867,21224
1708,2197867,21225
2968,2197868,21241
2330,2197868,21242
1781,2197869,21247
2008,2197870,21197
1418,2197871,21249
3591,2197871,21250
3272,2197872,21049
1709,2197872,21050
1419,2197875,21281
2719,2197878,21186
3337,2197878,21434
1783,2197880,21280
1491,2197881,21184
2720,2197881,21185
1493,2197881,21856
1492,2197881,21857
3584,2197882,21237
2644,2197882,21238
1420,2197883,21221
3053,2197884,21008
2082,2197884,21208
3052,2197884,21209
2083,2197884,21210
2407,2197884,21211
2408,2197884,21212
2084,2197884,21213
2086,2197884,22222
2085,2197884,22223
3338,2197884,22224
1496,2197884,22225
1784,2197884,22226
1497,2197884,22767
3054,2197884,22768
3273,2197885,21200
2648,2197885,21201
1494,2197886,21260
2406,2197886,21261
3655,2197886,21264
2645,2197887,21214
1703,2197887,21215
3592,2197888,21196
3274,2197889,21262
2331,2197889,21263
2969,2197889,21264
1498,2197890,21248
2646,2197892,21254
1704,2197892,21255
3585,2197893,21256
2006,2197893,21257
2649,2197894,21251
2721,2197895,21252
1499,2197895,21253
2650,2197896,21216
2970,2197896,21217
1421,2197897,21149
1422,2197899,21284
2332,2197899,21285
1423,2197900,21232
2333,2197900,21233
1424,2197900,22077
2009,2197900,22104
3269,2197901,21148
1425,2197902,21234
3593,2197902,21235
2651,2197903,21245
2010,2197903,21246
2334,2197904,21191
1426,2197904,21903
3270,2197908,21083
1705,2197908,21084
3586,2197908,21120
1706,2197909,21182
3587,2197909,21183
3588,2197910,21198
1707,2197910,21199
3589,2197913,21189
1415,2197913,21190
2965,2197914,21082
1427,2197915,21229
2652,2197915,21230
2080,2197917,21160
1881,2335200,21349
2829,2335200,21350
1283,2335200,21351
1484,2335201,21310
1301,2335204,21344
1897,2335204,21345
1774,2335205,21322
1775,2335208,21311
1485,2335208,21312
2401,2335209,21308
3045,2335209,21309
3434,2335211,21346
3147,2335211,22025
2075,2335215,21287
1284,2335216,21290
3435,2335216,21291
3148,2335216,22557
2830,2335216,22558
1356,2335522,21771
3218,2335534,21985
2913,2335534,21986
1355,2335535,21733
2910,2335535,22520
1954,2335542,21832
2267,2335542,22177
2911,2335544,22154
2268,2335545,21413
1357,2335545,22369
1955,2335546,21341
2578,2335546,21342
2579,2335546,21971
2269,2335546,22012
2912,2335547,22662
3528,2335549,22261
2577,2335550,21323
1644,2335550,21445
2914,2335551,21363
2270,2335551,21364
3529,2335552,21686
3219,2335552,21688
1358,2335552,21689
2271,2335552,22401
1645,2335650,22138
1359,2335650,22139
3530,2335655,21451
2580,2335657,22091
1361,2335661,21721
2919,2335671,21439
2586,2335671,21440
2274,2335678,22673
1650,2335678,22674
2581,2335682,21831
2582,2335693,21865
2915,2335693,22484
1362,2335694,21313
2587,2335694,21314
1363,2335694,21711
3222,2335694,21712
2583,2335700,21872
1646,2335700,21873
1364,2335701,21597
2588,2335701,21598
3531,2335705,21317
1957,2335705,21318
2920,2335705,21754
3223,2335705,21755
3532,2335707,22035
2589,2335707,22036
1647,2335710,21319
3224,2335714,21294
3533,2335714,21295
2916,2335719,22542
1360,2335721,21365
2272,2335721,21366
2917,2335721,21852
1956,2335721,22368
2590,2335727,21297
2275,2335727,21298
1365,2335727,21854
2591,2335727,21855
2584,2335731,21372
3220,2335731,21861
1651,2335732,21304
2921,2335745,21577
1652,2335745,21578
1653,2335745,21620
2592,2335745,21621
1648,2335749,21309
3221,2335749,21339
2273,2335750,21381
2918,2335750,22736
1958,2335752,21507
1654,2335752,21508
2922,2335752,22568
2585,2335754,21833
1649,2335754,22126
2276,2335755,22631
1655,2335755,22632
1370,2335756,21819
2597,2335756,21820
1656,2335759,21964
2594,2335759,21965
2593,2335759,21966
1366,2335759,22330
3534,2335770,22176
1660,2335772,21724
2598,2335774,22262
2599,2335779,22528
3538,2335779,22555
3227,2335780,21920
1960,2335780,21921
3539,2335780,22589
2600,2335780,22590
3225,2335785,21742
3226,2335786,21871
1657,2335786,22335
2601,2335791,22326
2279,2335791,22327
1371,2335800,21934
2927,2335800,21935
2595,2335802,21409
2277,2335802,21410
2278,2335803,21776
1367,2335803,21777
3535,2335804,21979
3536,2335804,21980
1658,2335807,21464
2923,2335807,21465
1372,2335810,21320
1661,2335810,22164
1662,2335811,21417
2928,2335811,21418
1961,2335812,21779
1663,2335812,21780
2602,2335814,21987
1664,2335814,21988
2924,2335815,22309
3537,2335815,22335
1959,2335817,22059
1368,2335817,22060
2603,2335819,21421
2604,2335819,21422
3228,2335827,21990
1373,2335827,21991
2280,2335829,21441
1374,2335829,21442
2925,2335831,21684
2926,2335831,21685
3540,2335835,21595
2605,2335835,21596
1369,2335838,22560
2596,2335842,21311
1659,2335842,21312
3229,2335847,21824
1665,2335847,22501
2606,2335848,21437
1667,2335848,21493
1376,2335849,21977
2283,2335849,21978
2281,2335851,22170
3230,2335852,21840
1963,2335855,21399
1964,2335855,21400
2933,2335859,21456
2934,2335859,21936
3541,2335863,21489
3231,2335863,22335
3542,2335879,21867
2929,2335879,21868
2282,2335879,22487
2930,2335879,22488
2935,2335880,21841
1377,2335880,21842
1668,2335880,22633
1965,2335880,22634
1669,2335882,21937
3232,2335882,21938
2284,2335885,21358
2607,2335885,22364
1375,2335894,21354
2931,2335894,21355
3543,2335896,21296
2285,2335896,22630
2608,2335899,21343
3233,2335910,22524
2609,2335910,22525
2286,2335913,21352
2610,2335913,21353
1962,2335920,21492
2932,2335926,21566
1666,2335926,22194
1966,2335937,21288
2611,2335937,21289
3548,2335940,21924
2615,2335940,21925
2287,2335941,21682
1670,2335941,21683
1968,2335952,21902
1969,2335955,21386
3236,2335955,21387
1378,2335956,21643
2936,2335956,21644
2289,2335961,22156
1970,2335961,22157
3549,2335962,21540
2939,2335962,21541
1382,2335968,21641
1971,2335968,21642
2612,2335971,21395
2937,2335971,21396
3237,2335972,21331
1972,2335972,21332
3550,2335975,21425
2290,2335975,21426
2616,2335980,21838
2291,2335980,22172
3238,2335981,21697
1967,2335987,21299
2613,2335987,21300
1379,2335987,21369
1671,2335987,21370
3234,2335991,21379
3544,2335991,21380
3545,2335992,21429
1380,2335992,22500
2292,2335995,21826
1973,2335995,21827
1384,2335996,22085
1383,2335996,22086
1974,2335996,22087
3239,2335996,22568
3240,2335998,22514
2293,2335999,21359
2940,2335999,21360
3241,2336002,21373
1672,2336002,21374
3546,2336008,21728
2614,2336008,21729
3242,2336011,21302
3551,2336011,21303
1381,2336012,21305
3235,2336012,21306
2938,2336012,21307
3547,2336018,21411
2288,2336018,21412
3243,2336021,21415
1975,2336021,21416
3554,2336026,21435
2295,2336028,22433
1977,2336028,22434
3552,2336029,21601
1385,2336033,22491
