prod_pat_id,product_id,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag,submission_date
18593,PRODUCT_208082_001,9550780,2033-09-18,1,1,U-1995,0,2017-04-04
18595,PRODUCT_208082_003,9550780,2033-09-18,1,1,U-1995,0,2017-04-04
18596,PRODUCT_021929_002,8575137,2023-01-29,0,1,U-2002,0,2013-12-04
18598,PRODUCT_022416_002,9763954,2028-09-13,0,0,U-2123,0,2017-10-10
18600,PRODUCT_202880_001,9610286,2033-07-25,0,0,U-1810,0,2017-04-05
18601,PRODUCT_202880_002,9610286,2033-07-25,0,0,U-1810,0,2017-04-05
18602,PRODUCT_202880_005,9610286,2033-07-25,0,0,U-1810,0,2017-04-05
18603,PRODUCT_202880_006,9610286,2033-07-25,0,0,U-1810,0,2017-04-05
18604,PRODUCT_209091_001,8361972,2028-03-21,0,0,U-1977,0,2017-03-22
18605,PRODUCT_209091_001,8361972,2028-03-21,0,0,U-1976,0,2017-03-22
18608,PRODUCT_209115_001,8071579,2027-08-12,0,0,U-2012,0,2016-12-21
18609,PRODUCT_209115_002,8143241,2027-08-12,0,0,U-2012,0,2016-12-21
18610,PRODUCT_209115_002,7351701,2024-07-23,0,0,U-2012,0,2016-12-21
18611,PRODUCT_209115_003,8859562,2031-08-04,0,0,U-2012,0,2017-05-09
18612,PRODUCT_202834_001,6949571,2024-06-08,1,1,U-2088,0,2012-11-19
18613,PRODUCT_202834_003,6949571,2024-06-08,1,1,U-2088,0,2012-11-19
18615,PRODUCT_207793_001,9717724,2033-06-12,0,0,U-1848,0,2017-08-30
18616,PRODUCT_201739_001,9724471,2027-05-23,0,1,U-2092,0,2017-08-23
18617,PRODUCT_201739_002,9724471,2027-05-23,0,1,U-2092,0,2017-08-23
18619,PRODUCT_208780_003,7767700,2027-12-18,0,0,U-2080,0,2017-02-10
18621,PRODUCT_208780_003,8592462,2029-04-22,0,0,U-2060,0,2017-02-10
18622,PRODUCT_209092_001,8962630,2029-12-09,0,0,U-1981,0,2017-04-03
18624,PRODUCT_209203_001,9216179,2031-08-01,0,0,U-2104,0,2017-09-15
18625,PRODUCT_202880_002,9713611,2034-09-12,0,1,U-55,0,2017-08-23
18626,PRODUCT_202880_003,9713611,2034-09-12,0,1,U-55,0,2017-08-23
18627,PRODUCT_203752_005,9730900,2028-07-10,0,1,U-2086,0,2017-08-18
18628,PRODUCT_209478_001,9757394,2036-10-28,0,1,U-2109,0,2017-09-21
18629,PRODUCT_208558_001,8912187,2024-03-12,0,0,U-2101,0,2017-09-15
18632,PRODUCT_203975_001,7439393,2025-05-21,1,1,U-1476,0,2014-01-09
18636,PRODUCT_208510_001,7674774,2023-02-24,0,1,U-727,0,2017-02-27
18637,PRODUCT_208510_001,7671030,2023-02-24,0,1,U-727,0,2017-02-27
18638,PRODUCT_208510_001,7671031,2023-02-24,0,0,U-727,0,2017-02-27
18639,PRODUCT_208510_003,7718619,2023-02-24,0,1,U-727,0,2017-02-27
18640,PRODUCT_208510_003,7674774,2023-02-24,0,1,U-727,0,2017-02-27
18641,PRODUCT_208510_004,7659254,2023-02-24,0,0,U-727,0,2017-02-27
18642,PRODUCT_208510_004,7671030,2023-02-24,0,1,U-727,0,2017-02-27
18643,PRODUCT_208510_006,7671031,2023-02-24,0,0,U-727,0,2017-02-27
18644,PRODUCT_208510_006,7713936,2023-02-24,0,0,U-727,0,2017-02-27
18645,PRODUCT_209241_002,8357697,2027-11-08,0,0,U-1995,0,2017-10-27
18646,PRODUCT_209501_001,8945620,2026-11-02,0,1,U-2136,0,2017-11-09
18655,PRODUCT_208399_001,7981905,2027-04-04,0,0,U-1741,0,2017-11-22
18656,PRODUCT_209394_001,9586978,2030-11-06,0,0,U-2141,0,2017-08-29
18660,PRODUCT_200603_003,9815827,2024-02-20,0,0,U-2166,0,2017-12-12
18661,PRODUCT_202107_001,9829495,2036-08-15,0,0,U-1643,0,2017-11-28
18664,PRODUCT_209296_001,9808465,2035-09-18,0,0,U-2161,0,2017-12-05
18671,PRODUCT_208686_001,9808442,2036-03-25,0,0,U-71,0,2017-11-20
18672,PRODUCT_208686_001,9808442,2036-03-25,0,0,U-185,0,2017-11-20
18674,PRODUCT_200677_001,7473761,2026-12-14,1,1,,0,2013-01-10
18675,PRODUCT_205649_002,9616028,2030-11-12,0,1,,0,2017-08-30
18678,PRODUCT_209777_002,7955619,2028-08-12,0,1,,0,2017-05-19
18682,PRODUCT_208799_003,9616024,2024-09-01,0,1,,0,2017-05-10
18685,PRODUCT_207975_004,8445018,2029-07-31,0,1,,0,2017-01-19
18686,PRODUCT_209092_001,8324225,2028-06-17,1,1,,0,2017-04-03
18687,PRODUCT_208082_002,9814708,2033-09-18,0,1,,0,2017-11-16
18688,PRODUCT_021457_001,9808587,2031-05-18,0,1,,0,2017-11-16
18689,PRODUCT_207975_001,9572803,2027-09-13,0,1,,0,2017-02-21
18691,PRODUCT_206627_006,9775809,2027-08-24,0,1,,0,2017-10-04
18692,PRODUCT_208082_003,9814708,2033-09-18,0,1,,0,2017-11-16
18693,PRODUCT_203255_001,7473761,2026-12-14,1,1,,0,2015-01-13
18699,PRODUCT_021038_003,9616049*PED,2032-07-04,0,0,,0,
18703,PRODUCT_205388_001,9399040*PED,2024-01-30,0,0,,0,
18704,PRODUCT_203045_001,7217713*PED,2023-04-21,0,0,,0,
18705,PRODUCT_203045_001,7754731*PED,2029-09-11,0,0,,0,
18706,PRODUCT_203389_001,8026284*PED,2028-03-22,0,0,,0,
18707,PRODUCT_205786_001,7169780*PED,2024-04-03,0,0,,0,
18710,PRODUCT_204485_001,9750785,2035-01-30,0,1,,0,2017-09-05
18712,PRODUCT_022063_002,8846100,2029-08-24,0,1,,0,2017-07-07
18713,PRODUCT_206627_004,9763933,2027-08-24,0,1,,0,2017-09-19
18716,PRODUCT_208246_001,RE41783,2025-12-08,1,0,,0,2016-03-18
18717,PRODUCT_207233_001,9649318,2035-03-31,0,1,,0,2017-05-16
18718,PRODUCT_202788_007,9642844,2027-01-25,0,1,,0,2017-05-15
18719,PRODUCT_208510_002,7687466,2023-02-24,0,1,,0,2017-02-27
18720,PRODUCT_206627_002,9775809,2027-08-24,0,1,,0,2017-10-04
18722,PRODUCT_021272_002,9604901,2028-12-15,1,0,,0,2017-03-28
18723,PRODUCT_022272_005,9763933,2027-08-24,0,1,,0,2017-09-19
18724,PRODUCT_208325_003,8377880,2030-07-29,1,1,,0,2017-06-01
18725,PRODUCT_021936_001,8733341,2030-10-16,0,1,,0,2015-09-15
18726,PRODUCT_209210_001,7563871,2024-04-15,0,1,,0,2017-11-03
18727,PRODUCT_208798_002,8651103,2028-03-26,0,1,,0,2017-01-30
18728,PRODUCT_022272_006,9775808,2027-08-24,0,1,,0,2017-10-04
18730,PRODUCT_208610_001,8273892,2026-08-06,1,0,,0,2017-07-18
18732,PRODUCT_208558_001,8475842,2029-12-31,0,1,,0,2017-09-15
18733,PRODUCT_209091_001,8716251,2028-03-21,0,1,,0,2017-03-22
18735,PRODUCT_208510_006,7687466,2023-02-24,0,1,,0,2017-02-27
18736,PRODUCT_206406_003,9549918,2028-05-30,0,1,,0,2017-05-02
18737,PRODUCT_205489_003,8840924,2026-06-05,0,1,,0,2017-07-20
18738,PRODUCT_206321_001,RE46363,2026-08-03,0,1,,0,2017-05-10
18740,PRODUCT_022200_002,9320853,2028-03-25,0,1,,0,2017-11-15
18741,PRODUCT_208383_002,8404724,2031-03-29,0,1,U-2034,0,2017-07-21
18744,PRODUCT_208716_003,7855211,2029-12-15,1,1,U-2135,0,2017-10-16
18745,PRODUCT_208716_004,7855211,2029-12-15,1,1,U-2132,0,2017-10-16
18746,PRODUCT_201635_004,9622983,2027-11-16,0,1,U-1675,0,2017-04-20
18747,PRODUCT_022266_001,9597288,2027-07-23,0,1,U-767,0,2017-04-03
18748,PRODUCT_207997_001,7973031,2028-10-09,0,0,U-2007,0,2017-05-23
18750,PRODUCT_020372_002,9549999,2030-03-10,0,1,,0,2017-12-04
18751,PRODUCT_022556_001,9522191,2027-06-15,0,1,,0,2016-12-22
18752,PRODUCT_208325_001,9820938,2034-06-27,0,1,,0,2017-11-29
18755,PRODUCT_022416_002,9566244,2028-10-23,0,1,,0,2017-03-08
18756,PRODUCT_207975_005,8445018,2029-07-31,0,1,,0,2017-01-19
18757,PRODUCT_205489_001,8840924,2026-06-05,0,1,,0,2017-07-20
18759,PRODUCT_208611_001,7728143,2031-06-19,1,0,,0,2017-07-18
18760,PRODUCT_206321_001,9775953,2026-07-17,0,1,,0,2017-11-13
18762,PRODUCT_022257_001,8889109,2027-12-11,0,1,,0,2017-10-16
18763,PRODUCT_208383_001,7598276,2026-11-08,1,0,,0,2017-07-21
18765,PRODUCT_209606_002,9738625,2034-08-01,1,0,,0,2017-08-29
18770,PRODUCT_020911_001,9808587,2031-05-18,0,1,,0,2017-11-30
18772,PRODUCT_208383_002,8987463,2030-12-28,0,1,,0,2017-07-21
18773,PRODUCT_205636_001,9731087,2031-05-18,0,1,,0,2017-08-31
18775,PRODUCT_022272_006,9770416,2027-08-24,0,1,,0,2017-09-27
18780,PRODUCT_203341_003,7919625,2025-12-11,0,1,,0,2017-11-15
18781,PRODUCT_207233_002,9649318,2035-03-31,0,1,,0,2017-05-16
18782,PRODUCT_208610_001,7728143,2031-06-19,1,0,,0,2017-07-18
