chembl_id,entity_type,entity_id,status,last_active
CHEMBL1000375,ASSAY,511083,ACTIVE,34.0
CHEMBL1000376,ASSAY,511084,ACTIVE,34.0
CHEMBL1000377,ASSAY,511085,ACTIVE,34.0
CHEMBL1000378,ASSAY,511086,ACTIVE,34.0
CHEMBL1000379,ASSAY,511087,ACTIVE,34.0
CHEMBL100038,COMPOUND,161209,ACTIVE,34.0
CHEMBL1000380,ASSAY,511088,ACTIVE,34.0
CHEMBL1000381,ASSAY,511089,ACTIVE,34.0
CHEMBL1000382,ASSAY,511090,ACTIVE,34.0
CHEMBL1000383,ASSAY,511091,ACTIVE,34.0
CHEMBL1000384,ASSAY,511092,ACTIVE,34.0
CHEMBL1000385,ASSAY,511093,ACTIVE,34.0
CHEMBL1000386,ASSAY,511094,ACTIVE,34.0
CHEMBL1000387,ASSAY,511095,ACTIVE,34.0
CHEMBL1000388,ASSAY,511096,ACTIVE,34.0
CHEMBL1000389,ASSAY,511097,ACTIVE,34.0
CHEMBL100039,COMPOUND,160870,ACTIVE,34.0
CHEMBL1000390,ASSAY,511098,ACTIVE,34.0
CHEMBL1000391,ASSAY,511099,ACTIVE,34.0
CHEMBL1000392,ASSAY,511100,ACTIVE,34.0
CHEMBL1000393,ASSAY,511101,ACTIVE,34.0
CHEMBL1000394,ASSAY,511102,ACTIVE,34.0
CHEMBL1000395,ASSAY,511103,ACTIVE,34.0
CHEMBL1000396,ASSAY,511104,ACTIVE,34.0
CHEMBL1000397,ASSAY,511105,ACTIVE,34.0
CHEMBL1000398,ASSAY,511106,ACTIVE,34.0
CHEMBL1000399,ASSAY,511107,ACTIVE,34.0
CHEMBL10004,COMPOUND,7136,ACTIVE,34.0
CHEMBL100040,COMPOUND,161532,ACTIVE,34.0
CHEMBL1000400,ASSAY,511108,ACTIVE,34.0
CHEMBL1000401,ASSAY,511109,ACTIVE,34.0
CHEMBL1000402,ASSAY,511153,ACTIVE,34.0
CHEMBL1000403,ASSAY,511154,ACTIVE,34.0
CHEMBL1000404,ASSAY,511155,ACTIVE,34.0
CHEMBL1000405,ASSAY,511156,ACTIVE,34.0
CHEMBL1000406,ASSAY,511157,ACTIVE,34.0
CHEMBL1000407,ASSAY,511158,ACTIVE,34.0
CHEMBL1000408,ASSAY,511159,ACTIVE,34.0
CHEMBL1000409,ASSAY,511160,ACTIVE,34.0
CHEMBL100041,COMPOUND,160316,ACTIVE,34.0
CHEMBL1000410,ASSAY,511161,ACTIVE,34.0
CHEMBL1000411,ASSAY,511162,ACTIVE,34.0
